d,t,ln_d,ln_t
0.00175,13.09,-6.348139491,2.57184858
0.00175,13.06,-6.348139491,2.569554124
0.00175,13.19,-6.348139491,2.579458967
0.00175,13.03,-6.348139491,2.567254391
0.00175,13.1,-6.348139491,2.57261223
0.00199,10.32,-6.21962064,2.33408376
0.00199,10.41,-6.21962064,2.342766883
0.00199,10.28,-6.21962064,2.33020026
0.00199,10.41,-6.21962064,2.342766883
0.00199,10.34,-6.21962064,2.336019869
0.00247,6.75,-6.003537128,1.909542505
0.00247,6.82,-6.003537128,1.919859472
0.00247,6.75,-6.003537128,1.909542505
0.00247,6.9,-6.003537128,1.931521412
0.00247,6.88,-6.003537128,1.928618652
