l,t,ln_l,ln_t
0.28,0.881,-1.272965676,-0.126697653
0.28,0.909,-1.272965676,-0.095410185
0.28,0.891,-1.272965676,-0.115410852
0.28,0.893,-1.272965676,-0.113168698
0.28,0.878,-1.272965676,-0.130108685
0.14,0.66,-1.966112856,-0.415515444
0.14,0.657,-1.966112856,-0.42007126
0.14,0.672,-1.966112856,-0.397496938
0.215,0.859,-1.537117251,-0.151986357
0.215,0.853,-1.537117251,-0.158995731
0.215,0.834,-1.537117251,-0.181521877
0.215,0.84,-1.537117251,-0.174353387
0.215,0.841,-1.537117251,-0.173163619
0.365,1.04,-1.007857925,0.039220713
0.365,1.056,-1.007857925,0.054488185
0.365,1.062,-1.007857925,0.060153923
0.365,1.05,-1.007857925,0.048790164
0.365,1.062,-1.007857925,0.060153923
0.365,1.057,-1.007857925,0.055434707
