r,t,rrr,ttt
0.238,1.272,0.0566,1.618
0.238,1.263,0.0566,1.595
0.238,1.269,0.0566,1.610
0.238,1.269,0.0566,1.610
0.238,1.262,0.0566,1.593
0.195,1.069,0.0380,1.143
0.195,1.085,0.0380,1.177
0.195,1.085,0.0380,1.177
0.195,1.090,0.0380,1.188
0.195,1.072,0.0380,1.149
0.110,0.769,0.0121,0.591
0.110,0.766,0.0121,0.587
0.110,0.769,0.0121,0.591
0.110,0.778,0.0121,0.605
0.110,0.765,0.0121,0.585
0.065,0.637,0.0042,0.406
0.065,0.631,0.0042,0.398
0.065,0.644,0.0042,0.415
0.065,0.640,0.0042,0.410
0.065,0.641,0.0042,0.411
0.040,0.582,0.0016,0.339
0.040,0.578,0.0016,0.334
0.040,0.581,0.0016,0.338
0.040,0.581,0.0016,0.338
0.040,0.581,0.0016,0.338
0.025,0.562,0.0006,0.316
0.025,0.559,0.0006,0.312
0.025,0.562,0.0006,0.316
0.025,0.556,0.0006,0.309
0.025,0.566,0.0006,0.320
0.010,0.547,0.0001,0.299
0.010,0.537,0.0001,0.288
0.010,0.537,0.0001,0.288
